Sample,Phase,Segment,Notes,Calibrated date range (cal BC)
OxA-8855 ,1,5,,3660-3380
OxA-8852,1,6.2,,3520-3340
OxA-8853,1,6.2,,3660-3380
OxA-7775,1,7,,3660-3530
OxA-8906,1,7,,3700-3520
OxA-8854,1,7,,3710-3530
OxA-7773,2/3,6.1,,3640-3370
OxA-7774,2/3,6.1,,3640-3370
OxA-7771,1,9,,3700-3520
OxA-7772,1,9,,3640-3370
OxA-7027,2,9,TPQ,3630-3350
OxA-7824,2,9,TPQ,3640-3360
HAR-1886,2,9,TPQ,3970-3340
OxA-7028,2,9,TPQ,3640-3370
OxA-7029,2,9,TPQ,3770-3630
OxA-7015,3,9,,3640-3360
OxA-7016,3,9,,3640-3360
OxA-7097,3,9,TPQ,3710-3540
OxA-7098,3,9,TPQ,3710-3540
OxA-7770,6,9,TPQ,3370-3080
OxA-7768,1,18,,3650-3520
OxA-7769,1,18,,3650-3520
OxA-7767,1,16,,3640-3370
OxA-7022,3,17,,3650-3380
OxA-7023,3,17,,3650-3380
OxA-7099,3,17,,3660-3530
HAR-2370,3,17,TPQ,3500-2920
OxA-7765,3,19,TPQ,3640-3360
OxA-7766,3,19,TPQ,3640-3370
OxA-7019,4,17,,3630-3360
OxA-7058,4,17,,3630-3360
OxA-7020,4,17,,3650-3370
OxA-7021,4,17,,3650-3370
HAR-2375,4,17,TPQ,3650-3090
HAR-2377,4,17,TPQ,3640-3020
OxA-7017,6,17,,3700-3370
OxA-7018,6,17,,3640-3350
OxA-7039,Post 6,17,,3500-3090
OxA-7040,Post 6,17,,3500-3090
UB-4269,Post 6,17,,3370-3120
